read_name,mapping_cov,cigar,mapping_quality
ERR257715.33737559/1,1.68,101M,60
ERR257715.25297010/2,1.77,101M,54
ERR257715.2324468/2,1.48,101M,27
ERR257715.25297010/1,1.55,101M,60
ERR257715.24709556/2,1.17,101M,60
ERR257715.2324468/1,1.83,77M24S,60
ERR257715.4312758/1,2.84,101M,60
ERR257715.23128944/2,2.82,101M,48
ERR257715.22516976/2,2.14,101M,60
ERR257715.24709556/1,1.90,101M,60
ERR257715.4312758/2,2.04,101M,60
ERR257715.23128944/1,1.94,101M,60
ERR257715.20151223/2,1.70,101M,60
ERR257715.22962540/2,1.70,101M,60
ERR257715.9191884/1,1.59,101M,60
ERR257715.20151223/1,1.59,101M,50
ERR257715.32402060/2,1.38,101M,60
ERR257715.9191884/2,1.85,101M,60
ERR257715.26072676/1,2.13,101M,60
ERR257715.32402060/1,1.91,101M,60
ERR257715.2420650/1,2.40,101M,60
ERR257715.8454989/2,2.60,101M,60
ERR257715.26072676/2,2.76,14S87M,50
ERR257715.2822532/2,2.59,101M,26
ERR257715.22962540/1,3.46,101M,13
ERR257715.2420650/2,3.49,101M,13
ERR257715.2822532/1,3.27,101M,29
ERR257715.8454989/1,1.60,101M,60
ERR257715.465922/2,1.00,101M,47
ERR257715.25367639/1,2.10,101M,35
ERR257715.30399116/1,2.48,101M,60
ERR257715.25367639/2,2.33,101M,51
ERR257715.465922/1,1.00,101M,60
ERR257715.30399116/2,1.00,101M,60
ERR257715.3638334/2,1.00,101M,60
ERR257715.3638334/1,1.00,101M,60
ERR257715.6424829/1,1.51,101M,60
ERR257715.24933072/2,1.51,101M,60
ERR257715.24933072/1,1.87,101M,1
ERR257715.31925584/1,1.89,101M,60
ERR257715.26972397/1,1.36,101M,60
ERR257715.26522566/2,1.00,101M,47
ERR257715.26972397/2,2.11,101M,60
ERR257715.11067117/2,2.11,101M,29
ERR257715.19029481/2,3.00,62S39M,10
ERR257715.5086792/2,1.00,101M,53
ERR257715.5086792/1,1.00,101M,60
ERR257715.462660/2,1.00,101M,13
ERR257715.28533836/1,1.45,101M,60
ERR257715.462660/1,1.50,101M,47
ERR257715.9415925/1,1.46,101M,60
ERR257715.28533836/2,1.73,101M,60
ERR257715.33982855/2,1.34,101M,60
ERR257715.33893712/1,1.91,101M,60
ERR257715.33982855/1,1.91,101M,60
ERR257715.5488526/2,1.90,101M,45
ERR257715.33893712/2,1.90,101M,33
ERR257715.5488526/1,1.00,101M,1
ERR257715.2202073/2,2.19,101M,60
